"ID","NOMBRE_EMP","NOMBRE_FAE","REGIÓN_IN","PROVINCIA","COMUNA_INS","NOMBRE_INS","TIPO_INSTA","RECOBRERSO","UTM_NORTE","UTM_ESTE","LATITUD","LONGITUD","ESTADO_INS","METODO_CONS","NEAR_DIST","VOL_AUTORIZADO","VOL_ACTUAL","TOS/IUTORIZADO","TOS/ICTUAL","RES_APRUEBA","RES_PDC_APRUEBA","RES_PDC_FECHA","RES_APRUEBA_FECHA"
"1","ENAMI","PLANTA JOSE ANTONIO MORENO","II","ANTOFAGASTA","TALTAL","PUNTA MORADO","TRANQUE DE RELAVE","COBRE","7191282.31","353574.44","-25.3881","-70.4556","INACTIVO","S/I","107379.94370455","1121664","0","1682496","0","1161","1530","6/4/2015","9/29/1992"
"2","CIA. MINERA CERRO NEGRO S.A.","PLANTA CERRO NEGRO","V","PETORCA","CABILDO","RELAVE FILTRADO","FILTRADO","COBRE-ORO","6393385.00","322587.00","-32.5828","-70.8902","ACTIVO","FILTRADO","S/I","S/I","S/I","80568","S/I","114","S/I","S/I","3/6/2023"
"3","CIA. MINERA CERRO NEGRO S.A.","PLANTA CERRO NEGRO","V","PETORCA","CABILDO","CERRO NEGRO 5","TRANQUE DE RELAVE","COBRE-ORO","6393867.39","322933.81","-32.5785","-70.8864","INACTIVO","EJE CENTRAL","23869.685188132","1625000","0","2473500","0","252","615","4/7/2009","3/24/2008"
"4","CIA. MINERA CERRO NEGRO S.A.","PLANTA CERRO NEGRO","V","PETORCA","CABILDO","CERRO NEGRO 4","TRANQUE DE RELAVE","COBRE-ORO","6393748.86","323198.39","-32.5796","-70.8836","INACTIVO","AGUAS ARRIBA","24144.800424701","1050000","0","1575000","0","S/I","615","4/7/2009","S/I"
"5","CIA. MINERA CERRO NEGRO S.A.","PLANTA CERRO NEGRO","V","PETORCA","CABILDO","CERRO NEGRO 3","TRANQUE DE RELAVE","COBRE-ORO","6393617.62","323441.81","-32.5808","-70.8810","INACTIVO","AGUAS ARRIBA","23908.518937256","660000","0","990000","0","135","615","4/7/2009","7/19/1972"
"6","CIA. MINERA CERRO NEGRO S.A.","PLANTA CERRO NEGRO","V","PETORCA","CABILDO","CERRO NEGRO 2","TRANQUE DE RELAVE","COBRE-ORO","6393435.59","323657.71","-32.5825","-70.8788","INACTIVO","AGUAS ARRIBA","23630.954791797","590000","0","885000","0","S/I","615","4/7/2009","S/I"
"7","CIA. MINERA CERRO NEGRO S.A.","PLANTA CERRO NEGRO","V","PETORCA","CABILDO","CERRO NEGRO 1","TRANQUE DE RELAVE","COBRE-ORO","6393357.27","323740.26","-32.5832","-70.8779","INACTIVO","AGUAS ARRIBA","23518.097972561","480000","0","720000","0","S/I","615","4/7/2009","S/I"
"8","ALEJANDRO LOPEZ ALIAGA","PLANTA VETA DEL AGUA","V","QUILLOTA","NOGALES","VETA DEL AGUA 1-2-3-4","EMBALSE","ORO","6381689.54","300150.41","-32.6844","-71.1316","INACTIVO","EMBALSE","8739.0559616196","1565000","0","2347500","0","S/I","S/I","S/I","S/I"
"9","ALEJANDRO LOPEZ ALIAGA","PLANTA VETA DEL AGUA","V","QUILLOTA","NOGALES","VETA DEL AGUA 6","EMBALSE","ORO","6381894.33","299810.68","-32.6825","-71.1352","ACTIVO","EMBALSE","8631.9574652998","358795","287949","538192","431632","1784","S/I","S/I","6/20/2011"
"10","MINERA LAS JUNTAS (EX MINAS SAN ANDRES)","PLANTAS EL PINGO Y SANTA MARIA","IV","LIMARI","MONTE PATRIA","EL PINGO ","TRANQUE DE RELAVE","COBRE-ORO","6586777.10","348767.00","-30.8425","-70.5815","INACTIVO","EJE CENTRAL","39499.02461253","101600","0","152400","0","S/I","S/I","S/I","S/I"
"11","MANTOS COOPER","MANTOS BLANCOS","II","ANTOFAGASTA","ANTOFAGASTA","TRANQUE DE RELAVE","TRANQUE DE RELAVE","COBRE","7407094.87","393418.53","-23.4426","-70.0434","INACTIVO","S/I","42677.700771175","5333333","0","8000000","0","1218","209","2/14/2013","7/12/1979"
"12","MINERA CRISTAL LIMITADA","MINERA CRISTAL LIMITADA","II","EL LOA","CALAMA","DEPÓSITO TUINA","EMBALSE","COBRE","7507353.95","558069.01","-22.5394","-68.4353","ACTIVO","EMBALSE","S/I","S/I","S/I","112575","S/I","724","S/I","S/I","18-06-2018"
"13","MINERA ESCONDIDA LTDA.","ESCONDIDA","II","ANTOFAGASTA","ANTOFAGASTA","EMBALSE DE RELAVE","EMBALSE","COBRE","7308034.27","493097.24","-24.3408","-69.0680","INACTIVO","EMBALSE","155372.55096198","40158","0","60237","0","S/I","S/I","S/I","S/I"
"14","CIA. MINERA CERRO DOMINADOR","PLANTA CALLEJAS ZAMORA","II","ANTOFAGASTA","SIERRA GORDA","TRANQUE 1","TRANQUE DE RELAVE","COBRE","7477677.83","459875.65","-22.8080","-69.3910","INACTIVO","S/I","62017.933206863","1250000","0","1875000","0","1081","1936","7/30/2015","11/10/1989"
"15","CIA. MINERA CERRO DOMINADOR","PLANTA CALLEJAS ZAMORA","II","ANTOFAGASTA","SIERRA GORDA","TRANQUE 4","EMBALSE","COBRE","7477474.02","459375.85","-22.8099","-69.3959","INACTIVO","EMBALSE","62532.925119152","672981","588181","1009472","882272","885","1936","7/30/2015","7/22/2013"
"16","JORGE WENKE","EL ESCORIAL","V","PETORCA","CABILDO","EL ESCORIAL 2","TRANQUE DE RELAVE","COBRE-ORO","6410690.24","305639.04","-32.4240","-71.0671","INACTIVO","AGUAS ARRIBA","708.15181521791","80000","0","120000","0","450","S/I","S/I","5/7/1996"
