longitude,latitude,depth
9.954611,56.127922,0.473
9.954611,56.127922,0.475
9.954611,56.127922,0.486
9.954611,56.127922,0.497
9.954611,56.127922,0.487
9.954611,56.127922,0.507
9.954611,56.127922,0.501
9.954611,56.127922,0.509
9.954611,56.127922,0.517
9.954611,56.127922,0.504
9.954611,56.127922,0.511
9.95461,56.127922,0.536
9.95461,56.127922,0.517
9.954611,56.127922,0.514
9.954611,56.127922,0.507
9.954611,56.127922,0.502
9.954611,56.127923,0.496
9.954611,56.127923,0.51
9.954611,56.127923,0.501
9.95461,56.127923,0.492
9.95461,56.127923,0.511
9.95461,56.127923,0.488
9.95461,56.127923,0.484
9.95461,56.127923,0.499
9.95461,56.127923,0.479
9.95461,56.127923,0.486
9.95461,56.127923,0.483
9.95461,56.127923,0.48
9.95461,56.127923,0.478
9.95461,56.127923,0.483
9.95461,56.127923,0.482
9.954609,56.127923,0.516
9.954609,56.127923,0.485
9.954609,56.127923,0.489
9.954608,56.127924,0.52
9.954608,56.127924,0.495
9.954608,56.127924,0.521
9.954607,56.127924,0.498
9.954607,56.127924,0.494
9.954607,56.127924,0.5
9.954607,56.127924,0.493
9.954606,56.127924,0.492
9.954606,56.127924,0.486
9.954606,56.127924,0.421
9.954606,56.127924,0.419
9.954606,56.127924,0.527
9.954606,56.127924,0.423
9.954606,56.127924,0.49
9.954606,56.127924,0.494
9.954606,56.127924,0.424
9.954606,56.127924,0.417
9.954606,56.127924,0.411
9.954606,56.127924,0.407
9.954606,56.127924,0.406
9.954606,56.127924,0.414
9.954606,56.127924,0.486
9.954606,56.127924,0.423
9.954606,56.127924,0.427
9.954606,56.127924,0.486
9.954606,56.127924,0.487
9.954606,56.127924,0.482
9.954606,56.127924,0.48
9.954606,56.127924,0.48
9.954606,56.127924,0.48
9.954606,56.127924,0.478
9.954606,56.127924,0.474
9.954607,56.127924,0.47
9.954607,56.127924,0.467
9.954607,56.127924,0.465
9.954607,56.127924,0.464
9.954607,56.127924,0.463
9.954607,56.127924,0.464
9.954607,56.127924,0.463
9.954607,56.127924,0.463
9.954607,56.127924,0.459
9.954607,56.127924,0.459
9.954606,56.127924,0.458
9.954606,56.127924,0.46
9.954606,56.127924,0.461
9.954606,56.127924,0.462
9.954606,56.127924,0.463
9.954606,56.127924,0.47
9.954606,56.127924,0.469
9.954606,56.127924,0.467
9.954606,56.127924,0.481
9.954606,56.127924,0.478
9.954605,56.127925,0.476
9.954605,56.127925,0.483
9.954605,56.127925,0.484
9.954605,56.127925,0.484
9.954604,56.127925,0.492
9.954604,56.127925,0.49
9.954603,56.127926,0.505
9.954603,56.127926,0.503
9.954603,56.127926,0.504
9.954602,56.127926,0.518
9.954602,56.127927,0.524
9.954601,56.127927,0.562
9.954601,56.127927,0.555
9.9546,56.127928,0.564
9.9546,56.127928,0.532
9.9546,56.127928,0.543
9.954599,56.127928,0.592
9.954599,56.127929,0.631
9.954598,56.127929,0.64
9.954598,56.127929,0.71
9.954597,56.127929,0.66
9.954597,56.12793,0.671
9.954596,56.12793,0.689
9.954596,56.12793,0.706
9.954596,56.127931,0.767
9.954595,56.127931,0.778
9.954595,56.127931,0.773
9.954594,56.127931,0.794
9.954594,56.127931,0.789
9.954594,56.127932,0.766
9.954594,56.127932,0.818
9.954594,56.127932,0.831
9.954594,56.127932,0.842
9.954593,56.127932,0.867
9.954593,56.127932,0.884
9.954593,56.127932,0.894
9.954593,56.127932,0.888
9.954593,56.127932,0.909
9.954593,56.127932,0.91
9.954593,56.127933,0.885
9.954592,56.127933,0.882
9.954592,56.127933,0.895
9.954592,56.127933,0.876
9.954592,56.127933,0.87
9.954592,56.127933,0.876
9.954593,56.127933,0.832
9.954593,56.127933,0.814
9.954593,56.127933,0.807
9.954593,56.127933,0.802
9.954593,56.127933,0.799
9.954593,56.127933,0.786
9.954593,56.127932,0.769
9.954593,56.127932,0.767
9.954593,56.127932,0.754
9.954593,56.127932,0.793
9.954593,56.127932,0.747
9.954593,56.127932,0.746
9.954593,56.127932,0.749
9.954593,56.127932,0.749
9.954593,56.127932,0.746
9.954594,56.127932,0.736
9.954594,56.127932,0.716
9.954594,56.127932,0.714
9.954594,56.127932,0.731
9.954594,56.127932,0.757
9.954594,56.127932,0.691
9.954594,56.127932,0.685
9.954594,56.127932,0.681
9.954594,56.127932,0.681
9.954594,56.127932,0.644
9.954594,56.127932,0.635
9.954594,56.127932,0.629
9.954594,56.127932,0.624
9.954594,56.127932,0.623
9.954594,56.127932,0.624
9.954594,56.127932,0.624
9.954594,56.127932,0.626
9.954594,56.127932,0.632
9.954594,56.127932,0.635
9.954594,56.127932,0.635
9.954594,56.127932,0.65
9.954594,56.127932,0.684
9.954594,56.127931,0.686
9.954594,56.127931,0.714
9.954594,56.127931,0.695
9.954594,56.127931,0.693
9.954594,56.127931,0.691
9.954594,56.127931,0.707
9.954594,56.127931,0.7
9.954594,56.127931,0.703
9.954594,56.127931,0.698
9.954594,56.127931,0.693
9.954594,56.127931,0.691
9.954594,56.127931,0.703
9.954594,56.127931,0.695
9.954594,56.127931,0.685
9.954594,56.127931,0.68
9.954594,56.127931,0.677
9.954594,56.127931,0.686
9.954594,56.127931,0.68
9.954594,56.127931,0.676
9.954594,56.127931,0.693
9.954594,56.127931,0.694
9.954594,56.127931,0.718
9.954594,56.127931,0.758
9.954594,56.127931,0.749
9.954594,56.127931,0.783
9.954594,56.127931,0.834
9.954594,56.127929,0.769
9.954594,56.127929,0.806
9.954594,56.127929,0.875
9.954581,56.127923,0.517
9.954581,56.127923,0.474
9.954581,56.127923,0.463
9.954581,56.127923,0.461
9.954581,56.127923,0.495
9.954581,56.127923,0.485
9.954581,56.127923,0.512
9.95458,56.127923,0.49
9.95458,56.127923,0.515
9.95458,56.127923,0.511
9.95458,56.127923,0.562
9.95458,56.127923,0.542
9.95458,56.127923,0.514
9.954579,56.127923,0.514
9.954579,56.127923,0.539
9.954579,56.127923,0.557
9.954579,56.127923,0.55
9.954579,56.127923,0.549
9.954579,56.127923,0.562
9.954579,56.127923,0.566
9.954579,56.127923,0.598
9.954579,56.127923,0.563
9.954579,56.127923,0.567
9.954579,56.127923,0.571
9.954579,56.127923,0.572
9.954579,56.127923,0.567
9.954579,56.127923,0.572
9.954579,56.127923,0.574
9.954579,56.127923,0.57
9.954579,56.127923,0.582
9.954579,56.127923,0.577
9.954579,56.127923,0.572
9.954579,56.127923,0.57
9.954579,56.127923,0.568
9.954579,56.127923,0.565
9.954579,56.127923,0.561
9.954579,56.127923,0.566
9.954579,56.127923,0.564
9.954579,56.127923,0.541
9.954579,56.127923,0.544
9.954579,56.127923,0.528
9.954579,56.127923,0.527
9.954579,56.127923,0.529
9.954579,56.127923,0.529
9.954579,56.127923,0.527
9.95458,56.127923,0.549
9.954579,56.127923,0.545
9.954579,56.127924,0.531
9.954579,56.127924,0.525
9.954579,56.127924,0.52
9.954579,56.127924,0.518
9.95458,56.127923,0.516
9.95458,56.127923,0.518
9.95458,56.127923,0.52
9.95458,56.127923,0.538
9.95458,56.127923,0.534
9.95458,56.127923,0.533
9.95458,56.127923,0.536
9.95458,56.127923,0.538
9.95458,56.127923,0.532
9.95458,56.127923,0.526
9.95458,56.127923,0.525
9.954579,56.127923,0.53
9.954579,56.127923,0.541
9.954579,56.127923,0.561
9.954579,56.127923,0.606
9.954579,56.127923,0.646
9.954579,56.127923,0.668
9.954579,56.127924,0.71
9.954505,56.127966,1.107
9.954505,56.127966,1.05
9.954504,56.127967,1.096
9.954503,56.127967,1.088
9.954502,56.127967,1.089
9.954501,56.127968,1.095
9.954501,56.127968,1.079
9.9545,56.127968,1.078
9.9545,56.127968,1.073
9.954499,56.127968,1.045
9.954499,56.127968,1.016
9.954499,56.127968,1.001
9.954499,56.127968,0.992
9.954499,56.127968,0.96
9.954499,56.127968,0.973
9.954499,56.127968,0.956
9.954499,56.127968,0.963
9.954499,56.127968,0.969
9.954499,56.127967,0.979
9.954499,56.127967,0.972
9.954499,56.127967,0.978
9.954499,56.127967,0.95
9.954499,56.127967,0.929
9.954499,56.127967,0.916
9.954499,56.127967,0.952
9.954499,56.127967,0.925
9.954499,56.127967,0.942
9.954499,56.127967,0.918
9.954498,56.127967,0.905
9.954498,56.127967,0.916
9.954498,56.127968,0.911
9.954499,56.127968,0.914
9.954499,56.127968,0.911
9.954499,56.127968,0.905
9.954499,56.127968,0.908
9.954499,56.127968,0.92
9.954499,56.127968,0.941
9.954499,56.127968,0.969
9.954499,56.127968,0.965
9.954499,56.127968,0.991
9.954499,56.127968,1.014
9.954499,56.127968,1.013
9.954499,56.127968,1.045
9.9545,56.127968,1.063
9.9545,56.127968,1.084
9.9545,56.127968,1.108
9.9545,56.127968,1.142
9.9545,56.127968,1.131
9.9545,56.127968,1.14
9.954499,56.127968,1.165
9.954499,56.127968,1.194
9.954499,56.127968,1.214
9.954447,56.127984,0.913
9.954447,56.127984,0.897
9.954447,56.127984,0.868
9.954447,56.127984,0.862
9.954447,56.127984,0.819
9.954447,56.127984,0.811
9.954447,56.127984,0.793
9.954447,56.127984,0.794
9.954447,56.127984,0.808
9.954447,56.127984,0.805
9.954446,56.127984,0.806
9.954446,56.127984,0.784
9.954446,56.127984,0.757
9.954446,56.127984,0.835
9.954446,56.127984,0.821
9.954446,56.127984,0.842
9.954446,56.127984,0.84
9.954446,56.127984,0.844
9.954446,56.127984,0.865
9.954446,56.127984,0.823
9.954445,56.127984,0.837
9.954445,56.127984,0.846
9.954445,56.127985,0.875
9.954445,56.127985,0.857
9.954445,56.127985,0.83
9.954445,56.127985,0.869
9.954445,56.127985,0.861
9.954445,56.127985,0.878
9.954445,56.127985,0.884
9.954445,56.127985,0.861
9.954445,56.127985,0.845
9.954445,56.127985,0.861
9.954445,56.127985,0.866
9.954444,56.127985,0.851
9.954444,56.127985,0.83
9.954444,56.127985,0.838
9.954444,56.127985,0.825
9.954444,56.127985,0.807
9.954444,56.127985,0.795
9.954444,56.127985,0.79
9.954444,56.127985,0.788
9.954444,56.127985,0.791
9.954444,56.127985,0.8
9.954444,56.127985,0.819
9.954444,56.127985,0.852
9.954444,56.127985,0.88
9.954444,56.127985,0.907
9.954445,56.127985,0.944
9.954445,56.127985,0.983
9.954445,56.127985,1.011
9.954445,56.127985,1.042
9.954363,56.128024,1.109
9.954363,56.128024,1.03
9.954363,56.128024,1.052
9.954363,56.128024,0.973
9.954363,56.128024,0.929
9.954363,56.128024,0.902
9.954363,56.128024,0.875
9.954364,56.128024,0.825
9.954364,56.128024,0.828
9.954364,56.128024,0.804
9.954364,56.128024,0.731
9.954364,56.128024,0.711
9.954364,56.128024,0.728
9.954364,56.128024,0.727
9.954364,56.128024,0.763
9.954363,56.128024,0.761
9.954363,56.128024,0.782
9.954363,56.128024,0.837
9.954363,56.128024,0.864
9.954363,56.128024,0.877
9.954363,56.128024,0.846
9.954363,56.128024,0.828
9.954363,56.128024,0.869
9.954363,56.128024,0.879
9.954363,56.128024,0.884
9.954363,56.128024,0.886
9.954363,56.128024,0.897
9.954363,56.128024,0.917
9.954364,56.128024,0.907
9.954364,56.128024,0.928
9.954364,56.128025,0.958
9.954364,56.128025,0.969
9.954364,56.128025,0.965
9.954364,56.128025,0.979
9.954364,56.128025,0.967
9.954364,56.128025,0.975
9.954364,56.128025,0.97
9.954364,56.128025,0.975
9.954364,56.128025,1.006
9.954364,56.128025,0.995
9.954364,56.128025,0.989
9.954364,56.128024,1.012
9.954364,56.128024,1.009
9.954364,56.128024,1.053
9.954364,56.128024,1.053
9.954364,56.128024,1.024
9.954364,56.128024,1.032
9.954364,56.128024,1.038
9.954364,56.128024,1.017
9.954364,56.128024,1.015
9.954364,56.128024,1.006
9.954364,56.128024,1.003
9.954365,56.128024,0.997
9.954365,56.128024,0.999
9.954365,56.128024,1.005
9.954365,56.128024,0.984
9.954365,56.128024,0.977
9.954365,56.128024,0.986
9.954365,56.128024,0.981
9.954365,56.128024,0.968
9.954365,56.128024,0.972
9.954365,56.128024,0.976
