Elapsed,Time,Pitch,Roll,Yaw,Latitude,Longitude,Altitude,Velocity,RTK Status,Latitude RTK,Longitude RTK,Altitude RTK,ALT:Altitude,ALT:Filtered Altitude,ECHO:Depth,ECHO:True Depth,ECHO:Temperature,ECHO:Pitch,ECHO:Roll
51756,12:56:49.211,4.51,8.58,-122.14,56.12778194,9.95481105,3.12,0.44,ON,56.12775561,9.95478969,61.63,2.81,2.81,0.000,0.000,0.25,0.7,0.6
51849,12:56:49.304,4.25,8.99,-121.88,56.12778238,9.95481029,3.41,0.55,ON,56.12775589,9.95478843,61.89,2.90,2.90,0.000,0.000,0.25,0.7,0.6
51951,12:56:49.406,4.50,9.51,-121.58,56.12778275,9.95480943,3.41,0.66,ON,56.12775589,9.95478843,61.89,3.06,3.06,0.000,0.000,0.25,0.7,0.6
52049,12:56:49.504,4.86,9.96,-121.25,56.12778315,9.95480851,3.66,0.76,ON,56.12775650,9.95478666,62.12,3.19,3.19,0.000,0.000,0.25,0.7,0.6
52148,12:56:49.603,4.75,10.43,-121.02,56.12778364,9.95480746,3.66,0.87,ON,56.12775650,9.95478666,62.12,3.31,3.31,0.000,0.000,0.25,0.7,0.6
52248,12:56:49.704,4.82,10.74,-120.62,56.12778422,9.95480642,3.93,0.98,ON,56.12775742,9.95478466,62.34,3.45,3.45,0.000,0.000,0.25,0.7,0.6
52348,12:56:49.803,4.72,10.68,-120.20,56.12778492,9.95480519,3.93,1.08,ON,56.12775742,9.95478466,62.34,3.54,3.54,0.000,0.000,0.25,0.7,0.6
52450,12:56:49.905,4.24,10.44,-119.76,56.12778569,9.95480403,4.15,1.17,ON,56.12775875,9.95478234,62.54,3.72,3.72,0.000,0.000,0.25,0.7,0.6
52548,12:56:50.003,4.08,10.36,-119.08,56.12778659,9.95480285,4.15,1.25,ON,56.12775875,9.95478234,62.54,3.81,3.81,0.000,0.000,0.25,0.7,0.6
52649,12:56:50.104,3.74,10.55,-118.35,56.12778746,9.95480157,4.34,1.33,ON,56.12776044,9.95477997,62.73,3.88,3.88,0.000,0.000,0.25,0.7,0.6
52748,12:56:50.203,3.22,10.82,-117.60,56.12778846,9.95480020,4.34,1.41,ON,56.12776044,9.95477997,62.73,3.99,3.99,0.000,0.000,0.25,0.7,0.6
52849,12:56:50.304,3.07,11.17,-116.53,56.12778949,9.95479890,4.51,1.50,ON,56.12776242,9.95477747,62.90,4.09,4.09,0.000,0.000,0.25,0.7,0.6
52949,12:56:50.404,2.52,11.66,-115.08,56.12779068,9.95479753,4.51,1.59,ON,56.12776242,9.95477747,62.90,4.28,4.28,0.000,0.000,0.25,0.7,0.6
53049,12:56:50.504,1.84,12.10,-113.27,56.12779188,9.95479622,4.66,1.70,ON,56.12776466,9.95477493,63.01,4.36,4.36,0.000,0.000,0.25,0.7,0.6
53148,12:56:50.603,1.62,12.00,-111.09,56.12779311,9.95479505,4.66,1.82,ON,56.12776466,9.95477493,63.01,4.42,4.42,0.000,0.000,0.25,0.7,0.6
53249,12:56:50.704,1.67,11.31,-108.78,56.12779447,9.95479365,4.77,1.93,ON,56.12776732,9.95477217,63.14,4.49,4.49,0.000,0.000,0.25,0.7,0.6
53348,12:56:50.803,1.65,10.66,-106.48,56.12779606,9.95479209,4.77,2.04,ON,56.12776732,9.95477217,63.14,4.58,4.58,0.000,0.000,0.25,0.7,0.6
53450,12:56:50.905,1.44,10.20,-104.33,56.12779766,9.95479057,4.88,2.13,ON,56.12777036,9.95476938,63.27,4.61,4.61,0.000,0.000,0.25,0.7,0.6
53548,12:56:51.003,1.13,9.63,-102.19,56.12779958,9.95478896,4.88,2.21,ON,56.12777036,9.95476938,63.27,4.66,4.66,0.000,0.000,0.25,0.7,0.6
